,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2151,4942,嘉彰,579836.0,25864640.0,45.1,45.1,44.35,44.4,-0.9,395.0
920,4943,康控-KY,90354.0,1992233.0,22.0,22.5,22.0,22.0,-0.4,87.0
2152,4943,康控-KY,128117.0,2537508.0,20.8,20.8,19.6,20.0,-0.8,77.0
921,4952,凌通,856591.0,42053430.0,49.1,49.35,48.95,49.2,0.2,426.0
2153,4952,凌通,1034988.0,51631765.0,50.0,50.8,49.3,50.3,-0.1,794.0
922,4956,光鋐,762609.0,15196490.0,20.25,20.25,19.7,19.8,-0.15,587.0
2154,4956,光鋐,645151.0,12125675.0,19.1,19.15,18.5,18.6,-0.75,621.0
923,4958,臻鼎-KY,7852473.0,921224331.0,118.5,118.5,115.5,117.5,0.0,5255.0
2155,4958,臻鼎-KY,7879270.0,891159293.0,113.5,115.5,112.0,112.5,-3.0,4809.0
924,4960,誠美材,32759138.0,444360943.0,13.5,13.8,13.45,13.55,0.2,3101.0
2156,4960,誠美材,26812614.0,323640394.0,13.0,13.0,11.75,12.35,-0.7,8356.0
925,4961,天鈺,2238032.0,576534036.0,255.0,260.0,253.5,259.0,5.5,2029.0
2157,4961,天鈺,2151554.0,546373955.0,256.0,258.5,251.5,253.5,-8.0,5761.0
926,4967,十銓,12183491.0,1107938856.0,90.0,92.3,89.1,89.9,0.4,14460.0
2158,4967,十銓,5196568.0,427986672.0,86.8,87.0,80.1,81.0,-6.6,4782.0
927,4968,立積,1185738.0,224073264.0,191.5,192.5,187.0,187.0,-3.5,1400.0
2159,4968,立積,2173247.0,380011553.0,177.0,179.0,173.0,173.5,-8.5,2334.0
928,4976,佳凌,395264.0,16134208.0,40.65,41.35,40.45,40.7,0.05,359.0
2160,4976,佳凌,947257.0,37516262.0,41.2,41.2,39.1,39.6,-1.6,731.0
929,4977,眾達-KY,617791.0,46540790.0,74.3,75.9,74.1,75.1,1.2,622.0
2161,4977,眾達-KY,610934.0,44352197.0,73.9,73.9,72.0,72.1,-2.4,669.0
930,4989,榮科,362612.0,9607114.0,26.1,26.8,26.05,26.6,0.7,252.0
2162,4989,榮科,381925.0,10065525.0,27.2,27.25,25.8,25.8,-1.5,314.0
931,4994,傳奇,507131.0,59509860.0,114.0,121.0,114.0,119.0,5.5,634.0
2163,4994,傳奇,415132.0,50259828.0,121.0,124.5,117.0,120.5,-1.5,708.0
932,4999,鑫禾,182472.0,6145236.0,33.6,34.1,33.45,33.7,0.05,546.0
2164,4999,鑫禾,219149.0,7284434.0,33.6,33.65,33.1,33.1,-0.55,709.0
933,5007,三星,40223.0,2254172.0,56.0,56.1,56.0,56.1,-0.4,174.0
2165,5007,三星,100671.0,5654110.0,56.4,56.4,55.9,56.2,-0.2,78.0
934,5203,訊連,56774.0,4958182.0,87.1,87.7,87.1,87.3,0.2,83.0
2166,5203,訊連,230522.0,19580727.0,86.4,86.4,84.3,84.5,-2.2,287.0
935,5215,科嘉-KY,94674.0,4818654.0,51.0,51.3,50.6,50.6,-0.2,83.0
2167,5215,科嘉-KY,303316.0,14625261.0,49.7,49.7,47.75,48.3,-1.55,230.0
936,5222,全訊,1060280.0,185322242.0,177.5,177.5,173.5,175.5,-1.0,1402.0
2168,5222,全訊,7327187.0,1303401995.0,183.5,188.0,165.0,171.0,-9.5,8453.0
937,5225,東科-KY,834650.0,96305860.0,113.5,117.0,113.5,115.0,0.0,771.0
2169,5225,東科-KY,2315284.0,265675736.0,114.0,117.5,112.0,115.0,0.0,2174.0
938,5234,達興材料,4453078.0,695290585.0,147.0,160.5,145.5,159.0,13.0,3259.0
2170,5234,達興材料,2818404.0,416972641.0,152.5,154.0,145.5,148.0,-7.5,2295.0
939,5243,乙盛-KY,3351230.0,202996204.0,60.6,61.9,59.1,61.4,1.5,2937.0
2171,5243,乙盛-KY,2181945.0,123937600.0,58.8,59.3,55.4,56.0,-3.0,2261.0
940,5244,弘凱,190251.0,8398595.0,44.55,44.55,43.95,44.0,-0.55,149.0
2172,5244,弘凱,201876.0,8888943.0,45.15,45.15,43.6,43.95,-1.2,147.0
941,5258,虹堡,2447626.0,345948904.0,141.0,144.5,139.0,140.5,-0.5,1908.0
2173,5258,虹堡,4121263.0,537241407.0,137.5,137.5,127.0,128.5,-9.0,3313.0
942,5269,祥碩,1273363.0,2870410905.0,2365.0,2365.0,2200.0,2245.0,-90.0,3168.0
2174,5269,祥碩,1046185.0,2215886485.0,2135.0,2175.0,2085.0,2090.0,-105.0,2410.0
943,5283,禾聯碩,61881.0,7112570.0,115.0,115.5,114.5,115.0,0.0,131.0
2175,5283,禾聯碩,150261.0,17088366.0,114.5,114.5,113.5,114.0,-0.5,204.0
944,5284,jpp-KY,959077.0,189839561.0,196.5,200.0,196.0,198.0,1.5,1061.0
2176,5284,jpp-KY,1614702.0,294754008.0,188.0,190.0,178.0,178.0,-13.0,1619.0
945,5285,界霖,186950.0,12280758.0,64.7,66.4,64.7,65.3,0.6,139.0
2177,5285,界霖,240434.0,15469102.0,64.6,66.0,63.5,65.8,0.7,204.0
946,5288,豐祥-KY,30141.0,5815844.0,192.0,195.0,192.0,193.0,0.0,41.0
2178,5288,豐祥-KY,115906.0,22010337.0,192.5,192.5,188.5,189.0,-3.5,127.0
947,5292,華懋,183338.0,25764714.0,141.0,142.0,139.0,141.0,1.5,246.0
2179,5292,華懋,189981.0,25804322.0,137.5,137.5,134.5,135.0,-4.0,318.0
948,5306,桂盟,611038.0,89184954.0,144.5,148.0,143.0,146.0,3.0,690.0
2180,5306,桂盟,213156.0,30154407.0,143.5,143.5,140.0,140.5,-4.0,320.0
949,5388,中磊,2244695.0,300758708.0,134.0,135.0,133.0,134.0,0.0,2631.0
2181,5388,中磊,4432845.0,561339240.0,128.5,129.0,125.0,125.0,-5.5,6670.0
950,5434,崇越,1617956.0,401814808.0,245.0,251.0,243.0,248.5,6.5,2889.0
